OBJECTID,FID_,OBJECTID_1,OBJECTID_2,PATH,NAME,DATETIME,DIRECTION,GLOBALID,POINT_X,POINT_Y,POINT_Z,POINT_M,SOURCEDATA,F_AREA,ACRES,INSIDE_X,INSIDE_Y,cwd,fog,ppt,tmn,tmx
62,630,631,631,D:\Users\Wildlands\Desktop\QUTO\0F4A4313.jpg,0F4A4313.jpg,2015:05:23 10:15:09,65535,{F435A77E-D09B-4671-9CDF-36EDA4D6A30D},-119.7584467,34.03653167,262.6,1, ,0,0,0,0,895.4829712,0.255147994,587.5570068,5.200799942,23.39279938
63,637,638,638,D:\Users\Wildlands\Desktop\QUTO\0F4A4383.jpg,0F4A4383.jpg,2015:05:23 10:21:50,65535,{2C44ADBA-BD01-420D-B19D-29D520BFD25A},-119.7764583,34.03839667,480,1, ,0,0,0,0,885.4470215,0.261256993,590.6300049,5.256700039,23.41460037
64,642,643,643,D:\Users\Wildlands\Desktop\QUTO\0F4A4388-2.jpg,0F4A4388-2.jpg,2015:05:23 10:21:51,65535,{4CF099F4-FB19-418E-85B6-DFDCF863272F},-119.7739383,34.03826167,466.6,1, ,0,0,0,0,881.507019,0.284700006,570.7030029,5.326600075,23.48469925
65,652,653,653,D:\Users\Wildlands\Desktop\QUTO\0F4A4720.jpg,0F4A4720.jpg,2015:05:23 12:31:21,65535,{D9A816E0-20F8-420E-B61D-DBAB7B5F07AC},-119.8383283,34.03635,631.1,1, ,0,0,0,0,910.6069946,0.320764005,567.7000122,5.561600208,23.46479988
66,655,656,656,D:\Users\Wildlands\Desktop\QUTO\0F4A4725.jpg,0F4A4725.jpg,2015:05:23 12:32:10,65535,{F586BBB6-3981-45C4-BB35-5BD3AD4C164E},-119.8458233,34.04005,630.8,1, ,0,0,0,0,888.5469971,0.378601015,572.8900146,5.302899837,22.64889908
67,660,661,661,D:\Users\Wildlands\Desktop\QUTO\0F4A4730.jpg,0F4A4730.jpg,2015:05:23 12:32:19,65535,{9278BBC8-5E8E-4AC2-8E1F-CD6936C1380F},-119.8459167,34.04021333,628.9,1, ,0,0,0,0,888.5469971,0.378601015,572.8900146,5.302899837,22.64889908
68,688,689,689,D:\Users\Wildlands\Desktop\QUTO\0F4A4758.jpg,0F4A4758.jpg,2015:05:23 12:32:42,65535,{5A6F0357-5497-4A46-9006-651FDCB0DE56},-119.845885,34.04007833,630.3,1, ,0,0,0,0,888.5469971,0.378601015,572.8900146,5.302899837,22.64889908
69,700,701,701,D:\Users\Wildlands\Desktop\QUTO\0F4A4783.jpg,0F4A4783.jpg,2015:05:23 12:33:09,65535,{9B9002E8-BC5F-4160-9963-D6999B8CCBDC},-119.8429583,34.04084333,658.8,1, ,0,0,0,0,906.0269775,0.364481986,558.3629761,5.296000004,23.18639946
70,713,714,714,D:\Users\Wildlands\Desktop\QUTO\0F4A4796-2.jpg,0F4A4796-2.jpg,2015:05:23 12:34:49,65535,{0C0050A1-F31F-42F5-B0E3-C0AC25D98D84},-119.8381417,34.03587,592.9,1, ,0,0,0,0,910.6069946,0.320764005,567.7000122,5.561600208,23.46479988
71,725,726,726,D:\Users\Wildlands\Desktop\QUTO\0F4A4830.jpg,0F4A4830.jpg,2015:05:18 09:32:45,65535,{347183DB-2887-4C43-A895-BC7F00C65EBD},-119.5746133,34.01851333,544.5,1, ,0,0,0,0,934.1669922,0.312604994,546.6669922,8.235600471,23.41769981
